site,pubs,lat,lon,type,files
Union Glacier,7,-79.75,-82.5,Glacier,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts
Roosevelt Island,7,-79.4166667,-162.0,Island,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts
Elephant Island,7,-61.133,-55.116,Island,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts
Keller Peninsula,7,-62.0729722,-58.4060556,Peninsula,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts
Denman Glacier,7,-66.75,99.4167,Glacier,POLAR2018_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2016_10.1017_s095410201600033x|openalex_polar_science_2020_10.1016_j.polar.2020.100587
Rauer Islands,7,-68.85,77.8333333,Island,Geosite_GF1_Shcherbinina_Layered_Complex|Geosite_GF1_Taynaya_Paragneiss|Geosite_GF1_Torckler-Tang|ISAES_2025_EG-GEOCON|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2024_Pucon_abstracts
Collins Glacier,7,-73.82869444,65.30788889,Glacier,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_polar_record_2019_10.1017_s0032247419000469
Risen,7,-71.9666667,3.3,Peak,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts
Trinity Peninsula,7,-63.6166667,-58.3333333,Peninsula,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts
Fourcade Glacier,7,-62.2166667,-58.6666667,Glacier,POLAR2018_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2016_10.1017_s0954102016000262|openalex_antarctic_science_2021_10.1017_s0954102020000668
Totten Glacier,6,-66.83330556,116.33330556,Glacier,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|openalex_antarctic_science_2020_10.1017_s0954102020000188
Nelson Island,6,-62.2964722,-59.0275833,Island,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts
Hope Bay,6,-63.4,-57.0,Bay,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2024_Pucon_abstracts
Pine Island Bay,6,-74.75,-102.0,Bay,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|openalex_antarctic_science_2012_10.1017_s0954102012000259
Ulu Peninsula,6,-63.9333333,-58.0833333,Peninsula,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2012_10.1017_s0954102012000934
Ryder Bay,6,-67.5666667,-68.3333333,Bay,POLAR2018_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2012_10.1017_s0954102012000892
Robertson Bay,6,-71.4166667,170.0,Bay,POLAR2018_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|openalex_antarctic_science_2011_10.1017_s0954102010000969
Jutulsessen,6,-72.0166667,2.75,Mountain,POLAR2018_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_polar_science_2014_10.1016_j.polar.2014.03.001
Doumer Island,6,-64.85,-63.5666667,Island,POLAR2018_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_advances_polar_sci_2019_10.13679_j.advps.2018.0036
Penguin Island,6,-62.1024167,-57.9258056,Island,SCAR_OSC_2012_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2016_10.1017_s0954102016000274|openalex_antarctic_science_2023_10.1017_s0954102023000111|openalex_polar_record_2021_10.1017_s0032247421000152
