site,pubs,lat,lon,type,files
Larsemann Hills,17,-69.39488311,76.17333532,Hill,ATCM39_ATT042_2016_Geoconservation_Attachment|ATCM39_IP031_2016_Antarctic_Geoconservation_Review|POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_advances_polar_sci_2010_W2912811075|openalex_advances_polar_sci_2013_10.3724_sp.j.1085.2013.00281|openalex_advances_polar_sci_2019_10.13679_j.advps.2019.1.00035|openalex_advances_polar_sci_2021_10.13679_j.advps.2020.0034|openalex_antarctic_science_2011_10.1017_s0954102011000642|openalex_polar_science_2021_10.1016_j.polar.2021.100729|openalex_polar_science_2023_10.1016_j.polar.2023.100982|openalex_polar_science_2025_10.1016_j.polar.2025.101214
Grove Mountains,16,-72.75,75.0,Mountain,ATCM39_ATT042_2016_Geoconservation_Attachment|ATCM39_IP031_2016_Antarctic_Geoconservation_Review|POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_advances_polar_sci_2010_W2911816432|openalex_advances_polar_sci_2010_W2913687367|openalex_advances_polar_sci_2011_10.3724_sp.j.1085.2011.00081|openalex_advances_polar_sci_2011_10.3724_sp.j.1085.2011.00199|openalex_advances_polar_sci_2012_10.3724_sp.j.1085.2012.00025|openalex_advances_polar_sci_2014_10.13679_j.advps.2014.1.00026|openalex_advances_polar_sci_2018_10.13679_j.advps.2018.2.000118|openalex_advances_polar_sci_2018_10.13679_j.advps.2018.2.00108|openalex_advances_polar_sci_2018_10.13679_j.advps.2018.2.00144
Taylor Valley,14,-77.6166667,163.0,Valley,ATCM39_ATT042_2016_Geoconservation_Attachment|POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2010_10.1017_s0954102010000234|openalex_antarctic_science_2010_10.1017_s0954102010000556|openalex_antarctic_science_2011_10.1017_s0954102011000125|openalex_antarctic_science_2013_10.1017_s095410201300045x|openalex_antarctic_science_2014_10.1017_s0954102014000534|openalex_antarctic_science_2025_10.1017_s0954102025000094
Admiralty Bay,13,-62.1069444,-58.4214167,Bay,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2010_10.1017_s0954102010000106|openalex_antarctic_science_2013_10.1017_s0954102013000552|openalex_antarctic_science_2021_10.1017_s0954102021000213|openalex_antarctic_science_2022_10.1017_s0954102021000560|openalex_antarctic_science_2022_10.1017_s0954102021000614|openalex_antarctic_science_2025_10.1017_s0954102025000173
Bunger Hills,13,-66.16669444,100.88330556,Hill,SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2016_10.1017_s095410201600033x|openalex_antarctic_science_2020_10.1017_s095410201900035x|openalex_antarctic_science_2020_10.1017_s0954102019000403|openalex_antarctic_science_2020_10.1017_s0954102019000476|openalex_antarctic_science_2020_10.1017_s0954102020000012|openalex_antarctic_science_2020_10.1017_s0954102020000073|openalex_antarctic_science_2020_10.1017_s0954102020000115|openalex_antarctic_science_2025_10.1017_s095410202400049x
Ross Island,11,-77.5,168.0,Island,ATCM39_IP031_2016_Antarctic_Geoconservation_Review|POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2010_10.1017_s0954102010000027|openalex_antarctic_science_2020_10.1017_s0954102020000553|openalex_polar_record_2023_10.1017_s0032247423000232
Signy Island,11,-60.7166667,-45.6333333,Island,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2012_10.1017_s0954102012000582|openalex_antarctic_science_2013_10.1017_s0954102013000606|openalex_antarctic_science_2020_10.1017_s0954102020000607|openalex_antarctic_science_2021_10.1017_s0954102021000390
McMurdo Sound,10,-77.5,165.0,Sound,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2013_10.1017_s0954102013000072|openalex_antarctic_science_2016_10.1017_s095410201600002x|openalex_antarctic_science_2016_10.1017_s0954102016000171
Maxwell Bay,10,-62.2228611,-58.8586667,Bay,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2011_10.1017_s095410201100006x|openalex_antarctic_science_2014_10.1017_s095410201400056x|openalex_antarctic_science_2026_10.1017_s0954102026100595
Marguerite Bay,10,-68.5,-68.5,Bay,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2012_10.1017_s0954102012000892|openalex_antarctic_science_2021_10.1017_s0954102021000055|openalex_antarctic_science_2025_10.1017_s0954102025100394
